#,symbol,timestamp,session_date,bar_number,close,scanner_allowed,new_session,session_close,strategies,pmb_signal,pmb_score,pmb_grade,signal,score,grade,rvol,atr_pct
1,AAPL,2026-06-15 09:30:00-04:00,2026-06-15,1,295.06,False,True,False,PMB,,,,,,,,
2,AMD,2026-06-15 09:30:00-04:00,2026-06-15,1,552.17,False,True,False,PMB,,,,,,,,
3,AMZN,2026-06-15 09:30:00-04:00,2026-06-15,1,246.59,False,True,False,PMB,,,,,,,,
4,GOOGL,2026-06-15 09:30:00-04:00,2026-06-15,1,368.01,False,True,False,PMB,,,,,,,,
5,IWM,2026-06-15 09:30:00-04:00,2026-06-15,1,296.76,False,True,False,PMB,,,,,,,,
6,META,2026-06-15 09:30:00-04:00,2026-06-15,1,588.89,False,True,False,PMB,,,,,,,,
7,MSFT,2026-06-15 09:30:00-04:00,2026-06-15,1,396.44,False,True,False,PMB,,,,,,,,
8,NVDA,2026-06-15 09:30:00-04:00,2026-06-15,1,208.93,False,True,False,PMB,,,,,,,,
9,QQQ,2026-06-15 09:30:00-04:00,2026-06-15,1,739.66,False,True,False,PMB,,,,,,,,
10,SPY,2026-06-15 09:30:00-04:00,2026-06-15,1,752.84,False,True,False,PMB,,,,,,,,
11,TSLA,2026-06-15 09:30:00-04:00,2026-06-15,1,412.2,False,True,False,PMB,,,,,,,,
12,AAPL,2026-06-15 09:45:00-04:00,2026-06-15,2,295.36,True,False,False,PMB,,,,,,,,
13,AMD,2026-06-15 09:45:00-04:00,2026-06-15,2,548.58,True,False,False,PMB,,,,,,,,
14,AMZN,2026-06-15 09:45:00-04:00,2026-06-15,2,247.35,True,False,False,PMB,,,,,,,,
15,GOOGL,2026-06-15 09:45:00-04:00,2026-06-15,2,369.23,True,False,False,PMB,,,,,,,,
16,IWM,2026-06-15 09:45:00-04:00,2026-06-15,2,296.81,True,False,False,PMB,,,,,,,,
17,META,2026-06-15 09:45:00-04:00,2026-06-15,2,591.88,True,False,False,PMB,,,,,,,,
18,MSFT,2026-06-15 09:45:00-04:00,2026-06-15,2,398.33,True,False,False,PMB,,,,,,,,
19,NVDA,2026-06-15 09:45:00-04:00,2026-06-15,2,208.76,True,False,False,PMB,,,,,,,,
20,QQQ,2026-06-15 09:45:00-04:00,2026-06-15,2,739.68,True,False,False,PMB,,,,,,,,
21,SPY,2026-06-15 09:45:00-04:00,2026-06-15,2,753.32,True,False,False,PMB,,,,,,,,
22,TSLA,2026-06-15 09:45:00-04:00,2026-06-15,2,411.21,True,False,False,PMB,,,,,,,,
23,AAPL,2026-06-15 10:00:00-04:00,2026-06-15,3,295.86,True,False,False,PMB,,,,,,,,
24,AMD,2026-06-15 10:00:00-04:00,2026-06-15,3,552.99,True,False,False,PMB,,,,,,,,
25,AMZN,2026-06-15 10:00:00-04:00,2026-06-15,3,246.12,True,False,False,PMB,,,,,,,,
26,GOOGL,2026-06-15 10:00:00-04:00,2026-06-15,3,368.11,True,False,False,PMB,,,,,,,,
27,IWM,2026-06-15 10:00:00-04:00,2026-06-15,3,295.47,True,False,False,PMB,,,,,,,,
28,META,2026-06-15 10:00:00-04:00,2026-06-15,3,592.26,True,False,False,PMB,,,,,,,,
29,MSFT,2026-06-15 10:00:00-04:00,2026-06-15,3,397.76,True,False,False,PMB,,,,,,,,
30,NVDA,2026-06-15 10:00:00-04:00,2026-06-15,3,209.32,True,False,False,PMB,,,,,,,,
31,QQQ,2026-06-15 10:00:00-04:00,2026-06-15,3,740.34,True,False,False,PMB,,,,,,,,
32,SPY,2026-06-15 10:00:00-04:00,2026-06-15,3,753.03,True,False,False,PMB,,,,,,,,
33,TSLA,2026-06-15 10:00:00-04:00,2026-06-15,3,411.24,True,False,False,PMB,,,,,,,,
34,AAPL,2026-06-15 10:15:00-04:00,2026-06-15,4,295.68,True,False,False,PMB,,,,,,,,
35,AMD,2026-06-15 10:15:00-04:00,2026-06-15,4,550.82,True,False,False,PMB,,,,,,,,
36,AMZN,2026-06-15 10:15:00-04:00,2026-06-15,4,246.12,True,False,False,PMB,,,,,,,,
37,GOOGL,2026-06-15 10:15:00-04:00,2026-06-15,4,369.09,True,False,False,PMB,,,,,,,,
38,IWM,2026-06-15 10:15:00-04:00,2026-06-15,4,295.46,True,False,False,PMB,,,,,,,,
39,META,2026-06-15 10:15:00-04:00,2026-06-15,4,590.34,True,False,False,PMB,,,,,,,,
40,MSFT,2026-06-15 10:15:00-04:00,2026-06-15,4,398.33,True,False,False,PMB,,,,,,,,
41,NVDA,2026-06-15 10:15:00-04:00,2026-06-15,4,209.4,True,False,False,PMB,,,,,,,,
42,QQQ,2026-06-15 10:15:00-04:00,2026-06-15,4,740.99,True,False,False,PMB,,,,,,,,
43,SPY,2026-06-15 10:15:00-04:00,2026-06-15,4,753.65,True,False,False,PMB,,,,,,,,
44,TSLA,2026-06-15 10:15:00-04:00,2026-06-15,4,411.39,True,False,False,PMB,,,,,,,,
45,AAPL,2026-06-15 10:30:00-04:00,2026-06-15,5,296.21,True,False,False,PMB,,,,,,,,
46,AMD,2026-06-15 10:30:00-04:00,2026-06-15,5,547.1,True,False,False,PMB,,,,,,,,
47,AMZN,2026-06-15 10:30:00-04:00,2026-06-15,5,246.16,True,False,False,PMB,,,,,,,,
48,GOOGL,2026-06-15 10:30:00-04:00,2026-06-15,5,369.33,True,False,False,PMB,,,,,,,,
49,IWM,2026-06-15 10:30:00-04:00,2026-06-15,5,295.36,True,False,False,PMB,,,,,,,,
50,META,2026-06-15 10:30:00-04:00,2026-06-15,5,592.81,True,False,False,PMB,,,,,,,,
51,MSFT,2026-06-15 10:30:00-04:00,2026-06-15,5,397.48,True,False,False,PMB,,,,,,,,
52,NVDA,2026-06-15 10:30:00-04:00,2026-06-15,5,209.58,True,False,False,PMB,,,,,,,,
53,QQQ,2026-06-15 10:30:00-04:00,2026-06-15,5,740.03,True,False,False,PMB,,,,,,,,
54,SPY,2026-06-15 10:30:00-04:00,2026-06-15,5,753.32,True,False,False,PMB,,,,,,,,
55,TSLA,2026-06-15 10:30:00-04:00,2026-06-15,5,408.79,True,False,False,PMB,,,,,,,,
56,AAPL,2026-06-15 10:45:00-04:00,2026-06-15,6,296.48,True,False,False,PMB,,,,,,,,
57,AMD,2026-06-15 10:45:00-04:00,2026-06-15,6,549.2,True,False,False,PMB,,,,,,,,
58,AMZN,2026-06-15 10:45:00-04:00,2026-06-15,6,246.44,True,False,False,PMB,,,,,,,,
59,GOOGL,2026-06-15 10:45:00-04:00,2026-06-15,6,370.64,True,False,False,PMB,,,,,,,,
60,IWM,2026-06-15 10:45:00-04:00,2026-06-15,6,294.86,True,False,False,PMB,,,,,,,,
61,META,2026-06-15 10:45:00-04:00,2026-06-15,6,594.24,True,False,False,PMB,,,,,,,,
62,MSFT,2026-06-15 10:45:00-04:00,2026-06-15,6,398.14,True,False,False,PMB,,,,,,,,
63,NVDA,2026-06-15 10:45:00-04:00,2026-06-15,6,210.36,True,False,False,PMB,,,,,,,,
64,QQQ,2026-06-15 10:45:00-04:00,2026-06-15,6,741.45,True,False,False,PMB,,,,,,,,
65,SPY,2026-06-15 10:45:00-04:00,2026-06-15,6,754.19,True,False,False,PMB,,,,,,,,
66,TSLA,2026-06-15 10:45:00-04:00,2026-06-15,6,410.46,True,False,False,PMB,,,,,,,,
67,AAPL,2026-06-15 11:00:00-04:00,2026-06-15,7,296.31,True,False,False,PMB,,,,,,,,
68,AMD,2026-06-15 11:00:00-04:00,2026-06-15,7,550.72,True,False,False,PMB,,,,,,,,
69,AMZN,2026-06-15 11:00:00-04:00,2026-06-15,7,246.09,True,False,False,PMB,,,,,,,,
70,GOOGL,2026-06-15 11:00:00-04:00,2026-06-15,7,370.31,True,False,False,PMB,,,,,,,,
71,IWM,2026-06-15 11:00:00-04:00,2026-06-15,7,295.08,True,False,False,PMB,,,,,,,,
72,META,2026-06-15 11:00:00-04:00,2026-06-15,7,595.64,True,False,False,PMB,,,,,,,,
73,MSFT,2026-06-15 11:00:00-04:00,2026-06-15,7,398.48,True,False,False,PMB,,,,,,,,
74,NVDA,2026-06-15 11:00:00-04:00,2026-06-15,7,211.32,True,False,False,PMB,,,,,,,,
75,QQQ,2026-06-15 11:00:00-04:00,2026-06-15,7,742.48,True,False,False,PMB,,,,,,,,
76,SPY,2026-06-15 11:00:00-04:00,2026-06-15,7,754.67,True,False,False,PMB,,,,,,,,
77,TSLA,2026-06-15 11:00:00-04:00,2026-06-15,7,408.16,True,False,False,PMB,,,,,,,,
78,AAPL,2026-06-15 11:15:00-04:00,2026-06-15,8,296.55,True,False,False,PMB,,,,,,,,
79,AMD,2026-06-15 11:15:00-04:00,2026-06-15,8,549.54,True,False,False,PMB,,,,,,,,
80,AMZN,2026-06-15 11:15:00-04:00,2026-06-15,8,246.09,True,False,False,PMB,,,,,,,,
