symbol,session_date,bars,first_bar,last_bar,open,close,volume,valid_for_scanner
AAPL,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,305.53,308.25,11232887.0,True
AMD,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,476.34,469.52,4209606.0,True
AMZN,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,278.31,278.06,6458698.0,True
ARM,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,271.85,267.78,672009.0,True
AVGO,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,425.44,422.25,3448191.0,True
COIN,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,150.01,148.6,1087349.0,True
GOOGL,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,354.43,357.55,4087504.0,True
IWM,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,299.78,299.98,5970083.0,True
JPM,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,357.92,359.83,1237054.0,True
META,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,597.35,595.02,2819576.0,True
MRVL,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,214.51,208.56,3768797.0,True
MSTR,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,97.68,97.32,3678962.0,True
MU,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,879.28,861.6,5889839.0,True
NVDA,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,218.36,217.56,32875062.0,True
PLTR,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,178.05,175.22,11763214.0,True
QQQ,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,722.47,720.81,7858110.0,True
SMCI,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,32.11,31.45,13652820.0,True
SPY,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,773.37,773.07,12596684.0,True
TSLA,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,330.53,330.89,7137265.0,True
TSM,2026-08-10,14,2026-08-10 12:30:00-04:00,2026-08-10 15:45:00-04:00,423.3,418.51,2806633.0,True
AAPL,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,307.7,304.91,21207506.0,True
AMD,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,474.41,474.4,9581717.0,True
AMZN,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,278.69,272.27,15597802.0,True
ARM,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,272.66,268.91,1732848.0,True
AVGO,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,426.07,415.86,6236729.0,True
COIN,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,149.84,148.59,3687988.0,True
GOOGL,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,355.91,343.8,17674435.0,True
IWM,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,300.93,300.99,10830831.0,True
JPM,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,360.05,362.01,2145907.0,True
META,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,598.0,599.21,8075584.0,True
MRVL,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,212.04,212.37,7042448.0,True
MSTR,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,97.4,96.14,7617493.0,True
MU,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,871.68,868.21,20087616.0,True
NVDA,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,222.05,217.47,59793952.0,True
PLTR,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,174.05,174.94,30029457.0,True
QQQ,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,723.29,718.33,19364382.0,True
SMCI,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,32.0,31.68,48579228.0,True
SPY,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,774.52,770.47,21177765.0,True
TSLA,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,332.85,332.81,17097829.0,True
TSM,2026-08-11,26,2026-08-11 09:30:00-04:00,2026-08-11 15:45:00-04:00,424.2,422.19,5625034.0,True
AAPL,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,305.09,302.22,25710066.0,True
AMD,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,488.3,482.79,9808300.0,True
AMZN,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,273.27,267.27,16475717.0,True
ARM,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,279.51,271.7,1851110.0,True
AVGO,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,426.49,416.05,6476139.0,True
COIN,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,150.09,149.01,3186195.0,True
GOOGL,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,346.21,343.55,15646033.0,True
IWM,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,302.99,302.71,10005650.0,True
JPM,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,362.97,365.22,2277559.0,True
META,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,601.0,578.85,10510089.0,True
MRVL,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,226.08,217.07,10543451.0,True
MSTR,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,97.16,94.79,6715123.0,True
MU,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,913.0,911.16,23428001.0,True
NVDA,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,221.0,224.13,66829923.0,True
PLTR,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,174.15,171.12,23916763.0,True
QQQ,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,727.08,723.64,17294996.0,True
SMCI,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,34.98,37.56,126719871.0,True
SPY,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,774.7,772.52,20545756.0,True
TSLA,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,335.16,327.45,21203749.0,True
TSM,2026-08-12,26,2026-08-12 09:30:00-04:00,2026-08-12 15:45:00-04:00,432.85,429.15,5927277.0,True
AAPL,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,304.18,305.27,22666273.0,True
AMD,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,483.0,482.97,10167036.0,True
AMZN,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,267.24,265.13,17704617.0,True
ARM,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,267.14,278.45,2493068.0,True
AVGO,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,416.23,417.83,7224945.0,True
COIN,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,148.97,153.77,4562643.0,True
GOOGL,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,345.93,346.42,11163620.0,True
IWM,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,304.06,303.47,10481105.0,True
JPM,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,366.5,363.13,2778966.0,True
META,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,580.71,594.73,7057926.0,True
MRVL,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,217.68,222.29,12465122.0,True
MSTR,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,94.83,97.1,12519112.0,True
MU,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,912.44,949.89,25923685.0,True
NVDA,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,225.12,225.37,60676574.0,True
PLTR,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,173.65,179.01,24227859.0,True
QQQ,2026-08-13,26,2026-08-13 09:30:00-04:00,2026-08-13 15:45:00-04:00,725.15,732.06,21393883.0,True
