timestamp,session_date,strategy,symbol,signal,score,grade,confidence,price,status,stage,reason,entry_underlying,entry_premium,contract_cost_with_commission,buying_power_before,remaining_daily_capital,allowed_budget,sizing_method,position_allocation_pct,max_daily_exposure_pct,max_spend_per_trade,max_daily_capital,suggested_min_spend,option_dte,option_expiry,option_strike,option_local_symbol,quantity,max_contracts,buying_power_after_entry,buying_power_after_exit,estimated_cost,exit_credit,exit_reason,stop_loss_pct,timeline_stage,underlying_move_pct,option_return_pct,pricing_model,raw_delta_return_pct,model_option_return_pct,theta_decay_pct,realized_pnl,directional_guard_applied,account_equity,daily_capital_used,trade_no,expiry,strike,right,localSymbol,conId,decision_no,strategy_name,instrument
2026-09-02 10:15:00-04:00,2026-09-02,PMB,META,CALL,96.0,A+,100.0,599.1,REJECTED,SIZING,Remaining daily capital cannot afford one contract,599.1,15.18,1518.65,2500.0,791.67,791.67,percent_equity,65.0,95.0,1625.0,2375.0,1518.65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PMB,OPTION
2026-09-03 10:15:00-04:00,2026-09-03,PMB,PLTR,CALL,97.0,A+,100.0,184.78,TRADED,BROKER,Opened simulated option trade and exited: Stop loss hit,184.78,5.48,548.65,2500.0,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260911,185.0,PLTR  260911C00185000,1.0,20.0,1951.35,1767.05,548.65,428.35,Stop loss hit,20.0,fixed,-0.7035,-21.72,ibkr_historical_option_bars_v1,0.0,-19.93,0.0,-120.3,False,2379.7,548.65,1.0,,,,,,2,PMB,OPTION
2026-09-03 10:30:00-04:00,2026-09-03,PMB,MSTR,CALL,98.0,A+,100.0,136.11,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,136.11,6.12,612.65,1951.35,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260911,136.0,MSTR  260911C00136000,1.0,20.0,1338.7,2915.4,612.65,1148.35,End-of-day forced exit,20.0,fixed,5.187,87.75,ibkr_historical_option_bars_v1,0.0,75.83,0.0,535.7,False,2915.4,1161.3,2.0,,,,,,3,PMB,OPTION
2026-09-03 10:30:00-04:00,2026-09-03,PMB,TSLA,CALL,93.0,A,100.0,378.65,REJECTED,SIZING,Remaining daily capital cannot afford one contract,378.65,13.01,1301.65,1338.7,1213.7,1213.7,percent_equity,65.0,95.0,1625.0,2375.0,1301.65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,PMB,OPTION
2026-09-03 10:45:00-04:00,2026-09-03,PMB,COIN,CALL,96.0,A+,100.0,190.03,REJECTED,OPTION_DATA,"IBKR historical option bars unavailable: Could not qualify historical option COIN C; tried 20260911 190, 20260911 192.5, 20260911 187.5, 20260911 195, 20260911 185, 20260904 190, 20260904 192.5, 20260904 187.5, 20260904 195, 20260904 185, 20260918 190, 20260918 192.5",,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,PMB,OPTION
2026-09-08 11:15:00-04:00,2026-09-08,PMB,NOK,CALL,96.0,A+,100.0,10.63,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,10.63,0.53,53.65,2915.4,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260918,10.5,NOK   260918C00010500,17.0,20.0,2003.35,2042.65,912.05,855.95,End-of-day forced exit,20.0,fixed,0.1881,-3.77,ibkr_historical_option_bars_v1,0.0,0.0,0.0,-56.1,False,2859.3,912.05,3.0,,,,,,6,PMB,OPTION
2026-09-08 11:45:00-04:00,2026-09-08,PMB,SPCX,CALL,96.0,A+,100.0,153.18,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,153.18,8.16,816.65,2003.35,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260925,152.5,SPCX  260925C00152500,1.0,20.0,1186.7,2785.0,816.65,742.35,End-of-day forced exit,20.0,fixed,0.5027,-8.95,ibkr_historical_option_bars_v1,0.0,-5.25,0.0,-74.3,False,2785.0,1728.7,4.0,,,,,,7,PMB,OPTION
2026-09-09 10:15:00-04:00,2026-09-09,PMB,AMD,CALL,87.0,A-,100.0,521.36,REJECTED,OPTION_DATA,"IBKR historical option bars unavailable: Could not qualify historical option AMD C; tried 20260918 443, 20260911 443, 20260925 443",,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,PMB,OPTION
2026-09-09 11:15:00-04:00,2026-09-09,PMB,META,CALL,89.0,A-,100.0,653.58,REJECTED,SIZING,Remaining daily capital cannot afford one contract,653.58,24.93,2493.65,2785.0,881.92,881.92,percent_equity,65.0,95.0,1625.0,2375.0,2493.65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,PMB,OPTION
2026-09-14 10:15:00-04:00,2026-09-14,PMB,CRWD,CALL,98.0,A+,100.0,231.38,REJECTED,SIZING,Remaining daily capital cannot afford one contract,231.38,9.18,918.65,2785.0,881.92,881.92,percent_equity,65.0,95.0,1625.0,2375.0,918.65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,PMB,OPTION
2026-09-14 10:15:00-04:00,2026-09-14,PMB,RBLX,CALL,87.0,A-,100.0,48.32,TRADED,BROKER,Opened simulated option trade and exited: Trailing stop hit,48.32,1.38,138.65,2785.0,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260918,48.5,RBLX  260918C00048500,6.0,20.0,1953.1,3065.2,831.9,1112.1,Trailing stop hit,20.0,fixed,1.7384,34.78,ibkr_historical_option_bars_v1,0.0,39.26,0.0,280.2,False,3065.2,831.9,5.0,,,,,,11,PMB,OPTION
2026-09-14 11:00:00-04:00,2026-09-14,PMB,NOK,PUT,97.0,A+,100.0,9.88,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,9.88,0.37,37.65,3065.2,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260918,10.0,NOK   260918P00010000,20.0,20.0,2312.2,3299.2,753.0,987.0,End-of-day forced exit,20.0,fixed,-1.7206,35.14,ibkr_historical_option_bars_v1,0.0,30.56,0.0,234.0,False,3299.2,753.0,6.0,,,,,,12,PMB,OPTION
2026-09-16 10:15:00-04:00,2026-09-16,PMB,SPCX,CALL,96.0,A+,100.0,151.11,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,151.11,6.07,607.65,3299.2,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260925,150.0,SPCX  260925C00150000,1.0,20.0,2691.55,3260.9,607.65,569.35,End-of-day forced exit,20.0,fixed,-0.5691,-6.1,ibkr_historical_option_bars_v1,0.0,-2.52,0.0,-38.3,False,3260.9,607.65,7.0,,,,,,13,PMB,OPTION
2026-09-18 10:15:00-04:00,2026-09-18,PMB,COIN,CALL,98.0,A+,100.0,187.08,TRADED,BROKER,Opened simulated option trade and exited: Trailing stop hit,187.08,6.78,678.65,3260.9,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260925,187.5,COIN  260925C00187500,1.0,20.0,2582.25,3565.75,678.65,1044.35,Trailing stop hit,20.0,fixed,3.7524,54.13,ibkr_historical_option_bars_v1,0.0,56.84,0.0,365.7,False,4189.4,678.65,8.0,,,,,,14,PMB,OPTION
2026-09-18 10:15:00-04:00,2026-09-18,PMB,MSTR,CALL,96.0,A+,100.0,144.69,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,144.69,6.23,623.65,2582.25,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260925,144.0,MSTR  260925C00144000,1.0,20.0,1958.6,4741.1,623.65,1175.35,End-of-day forced exit,20.0,fixed,6.1165,88.76,ibkr_historical_option_bars_v1,0.0,81.01,0.0,551.7,False,4741.1,1302.3,9.0,,,,,,15,PMB,OPTION
2026-09-18 10:15:00-04:00,2026-09-18,PMB,HOOD,CALL,97.0,A+,100.0,116.29,TRADED,BROKER,Opened simulated option trade and exited: Trailing stop hit,116.29,4.35,435.65,1958.6,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260925,116.0,HOOD  260925C00116000,4.0,20.0,216.0,2521.4,1742.6,2305.4,Trailing stop hit,20.0,fixed,2.6056,32.64,ibkr_historical_option_bars_v1,0.0,37.09,0.0,562.8,False,3823.7,3044.9,10.0,,,,,,16,PMB,OPTION
2026-09-21 10:15:00-04:00,2026-09-21,PMB,AMD,CALL,97.0,A+,100.0,611.53,REJECTED,OPTION_DATA,No IBKR historical option bars after signal timestamp,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,20261002,443.0,C,2AMD  261002C00443000,910874770.0,17,PMB,OPTION
2026-09-21 10:15:00-04:00,2026-09-21,PMB,META,CALL,93.0,A,100.0,712.66,REJECTED,SIZING,Remaining daily capital cannot afford one contract,712.66,17.7,1770.65,4741.1,1501.35,1501.35,percent_equity,65.0,95.0,1625.0,2375.0,1770.65,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,PMB,OPTION
2026-09-21 10:45:00-04:00,2026-09-21,PMB,INTC,CALL,98.0,A+,100.0,121.4,TRADED,BROKER,Opened simulated option trade and exited: Trailing stop hit,121.4,4.74,474.65,4741.1,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260928,121.0,INTC  260928C00121000,3.0,20.0,3317.15,5076.2,1423.95,1759.05,Trailing stop hit,20.0,fixed,1.458,23.84,ibkr_historical_option_bars_v1,0.0,24.73,0.0,335.1,False,5076.2,1423.95,11.0,,,,,,19,PMB,OPTION
2026-09-21 12:45:00-04:00,2026-09-21,PMB,AMZN,CALL,95.0,A+,100.0,258.41,TRADED,BROKER,Opened simulated option trade and exited: End-of-day forced exit,258.41,4.79,479.65,5076.2,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20260928,257.5,AMZN  260928C00257500,4.0,20.0,3157.6,4959.0,1918.6,1801.4,End-of-day forced exit,20.0,fixed,0.1587,-5.85,ibkr_historical_option_bars_v1,0.0,0.0,0.0,-117.2,False,4959.0,1918.6,12.0,,,,,,20,PMB,OPTION
2026-09-22 10:15:00-04:00,2026-09-22,PMB,JPM,PUT,96.0,A+,100.0,342.04,TRADED,BROKER,Opened simulated option trade and exited: Trailing stop hit,342.04,4.49,449.65,4959.0,,,percent_equity,65.0,95.0,1625.0,2375.0,,7,20261002,342.5,JPM   261002P00342500,3.0,20.0,3610.05,4078.6,1348.95,2035.05,Trailing stop hit,20.0,fixed,-0.8537,51.22,ibkr_historical_option_bars_v1,0.0,48.86,0.0,686.1,False,5645.1,1348.95,13.0,,,,,,21,PMB,OPTION
