strategy,strategy_name,timestamp,session_date,symbol,signal,score,grade,confidence,price,rvol,atr_pct,rank_score,option_score,vwap,orb_high,orb_low,pdh,pdl,pdh_method,room_to_move_pct,room_check,score_components,reasons,selection_rank,selection_status
PMB,PMB,2026-08-12 11:45:00-04:00,2026-08-12,META,PUT,97.0,A+,100.0,581.37,0.0,0.55,73.7,0.0,588.44,604.5,594.47,612.43,593.4,intraday fallback,,No nearby support below price,"VWAP 20/20 (1.22%) | EMA trend 20/20 (0.96%) | 15m ORB 25/25 (2.25%) | PDL break 25/25 (2.07%) | Confirmation 7/10 (Candle 4/4, ATR 3/4)",Below VWAP | EMA9 below EMA21 | 15m ORB breakdown | Broke PDL | Strong breakdown candle | Good ATR%: 0.55,1,SELECTED
PMB,PMB,2026-08-12 11:45:00-04:00,2026-08-12,AMZN,PUT,96.0,A+,100.0,267.91,0.0,0.47,72.3,0.0,270.05,273.46,270.11,278.84,271.36,intraday fallback,,No nearby support below price,"VWAP 20/20 (0.80%) | EMA trend 20/20 (0.48%) | 15m ORB 25/25 (0.82%) | PDL break 25/25 (1.29%) | Confirmation 6/10 (Candle 4/4, ATR 2/4)",Below VWAP | EMA9 below EMA21 | 15m ORB breakdown | Broke PDL | Strong breakdown candle | Good ATR%: 0.47,2,SELECTED
PMB,PMB,2026-08-13 09:45:00-04:00,2026-08-13,ARM,CALL,97.0,A+,100.0,284.44,0.0,1.0,78.2,0.0,278.37,280.16,270.0,273.39,265.37,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (2.13%) | EMA trend 20/20 (0.91%) | 15m ORB 25/25 (1.50%) | PDH break 25/25 (3.88%) | Confirmation 7/10 (Candle 4/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.00,1,SELECTED
PMB,PMB,2026-08-13 09:45:00-04:00,2026-08-13,MU,CALL,96.0,A+,100.0,939.26,0.0,0.8,75.6,0.0,928.22,920.78,899.54,879.0,844.62,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.18%) | EMA trend 20/20 (0.50%) | 15m ORB 25/25 (1.97%) | PDH break 25/25 (6.42%) | Confirmation 6/10 (Candle 3/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.80,2,SELECTED
PMB,PMB,2026-08-13 09:45:00-04:00,2026-08-13,AMD,CALL,97.0,A+,100.0,496.0,0.0,0.6,74.2,0.0,491.68,488.8,480.88,475.99,463.21,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (0.87%) | EMA trend 20/20 (0.39%) | 15m ORB 25/25 (1.45%) | PDH break 25/25 (4.03%) | Confirmation 7/10 (Candle 4/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.60,3,SELECTED
PMB,PMB,2026-08-13 10:00:00-04:00,2026-08-13,ARM,CALL,96.0,A+,100.0,287.3,0.0,1.16,79.2,0.0,281.13,280.16,270.0,273.39,265.37,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (2.15%) | EMA trend 20/20 (1.28%) | 15m ORB 25/25 (2.49%) | PDH break 25/25 (4.84%) | Confirmation 6/10 (Candle 2/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.16,1,SELECTED
PMB,PMB,2026-08-13 10:00:00-04:00,2026-08-13,MRVL,CALL,95.0,A+,100.0,228.2,0.0,0.93,76.3,0.0,224.28,226.89,220.7,212.66,206.43,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.72%) | EMA trend 20/20 (0.63%) | 15m ORB 25/25 (0.57%) | PDH break 25/25 (6.81%) | Confirmation 5/10 (Candle 2/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.93,2,SELECTED
PMB,PMB,2026-08-13 10:00:00-04:00,2026-08-13,TSM,CALL,90.0,A,100.0,435.76,0.0,0.36,67.6,0.0,433.07,433.28,427.02,424.9,418.87,intraday fallback,,No nearby resistance above price,"VWAP 14/20 (0.62%) | EMA trend 20/20 (0.37%) | 15m ORB 25/25 (0.57%) | PDH break 25/25 (2.49%) | Confirmation 6/10 (Candle 4/4, ATR 2/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.36,3,SELECTED
PMB,PMB,2026-08-13 10:15:00-04:00,2026-08-13,ARM,CALL,96.0,A+,100.0,287.52,0.0,1.21,79.7,0.0,281.86,280.16,270.0,273.39,265.37,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.97%) | EMA trend 20/20 (1.54%) | 15m ORB 25/25 (2.56%) | PDH break 25/25 (4.91%) | Confirmation 6/10 (Candle 2/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.21,1,SELECTED
PMB,PMB,2026-08-13 10:15:00-04:00,2026-08-13,MU,CALL,96.0,A+,100.0,945.23,0.0,0.89,76.5,0.0,932.19,920.78,899.54,879.0,844.62,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.38%) | EMA trend 20/20 (0.74%) | 15m ORB 25/25 (2.59%) | PDH break 25/25 (7.01%) | Confirmation 6/10 (Candle 3/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.89,2,SELECTED
PMB,PMB,2026-08-13 10:15:00-04:00,2026-08-13,AMD,CALL,91.0,A,100.0,494.99,0.0,0.7,71.6,0.0,492.22,488.8,480.88,475.99,463.21,intraday fallback,,No nearby resistance above price,"VWAP 14/20 (0.56%) | EMA trend 20/20 (0.55%) | 15m ORB 25/25 (1.25%) | PDH break 25/25 (3.84%) | Confirmation 7/10 (Candle 4/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.70,3,SELECTED
PMB,PMB,2026-08-13 10:30:00-04:00,2026-08-13,ARM,CALL,96.0,A+,100.0,288.58,0.0,1.21,79.7,0.0,282.96,280.16,270.0,273.39,265.37,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.95%) | EMA trend 20/20 (1.73%) | 15m ORB 25/25 (2.92%) | PDH break 25/25 (5.26%) | Confirmation 6/10 (Candle 2/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.21,1,SELECTED
PMB,PMB,2026-08-13 10:30:00-04:00,2026-08-13,MRVL,CALL,95.0,A+,100.0,228.15,0.0,0.99,76.9,0.0,225.26,226.89,220.7,212.66,206.43,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.27%) | EMA trend 20/20 (0.92%) | 15m ORB 25/25 (0.55%) | PDH break 25/25 (6.79%) | Confirmation 5/10 (Candle 2/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.99,2,SELECTED
PMB,PMB,2026-08-13 10:30:00-04:00,2026-08-13,MU,CALL,96.0,A+,100.0,952.58,0.0,0.92,76.8,0.0,935.53,920.78,899.54,879.0,844.62,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.79%) | EMA trend 20/20 (0.92%) | 15m ORB 25/25 (3.34%) | PDH break 25/25 (7.72%) | Confirmation 6/10 (Candle 3/4, ATR 3/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.92,3,SELECTED
PMB,PMB,2026-08-13 10:45:00-04:00,2026-08-13,MRVL,CALL,93.0,A,100.0,228.46,0.0,1.0,75.8,0.0,225.72,226.89,220.7,212.66,206.43,intraday fallback,,No nearby resistance above price,VWAP 20/20 (1.20%) | EMA trend 20/20 (1.00%) | 15m ORB 25/25 (0.69%) | PDH break 25/25 (6.92%) | Confirmation 3/10 (ATR 3/4),Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Good ATR%: 1.00,1,SELECTED
PMB,PMB,2026-08-13 10:45:00-04:00,2026-08-13,MU,CALL,93.0,A,100.0,955.13,0.0,0.96,75.4,0.0,938.76,920.78,899.54,879.0,844.62,intraday fallback,,No nearby resistance above price,VWAP 20/20 (1.71%) | EMA trend 20/20 (1.06%) | 15m ORB 25/25 (3.60%) | PDH break 25/25 (7.97%) | Confirmation 3/10 (ATR 3/4),Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Good ATR%: 0.96,2,SELECTED
PMB,PMB,2026-08-13 11:00:00-04:00,2026-08-13,SMCI,CALL,94.0,A,100.0,41.88,0.0,1.78,81.4,0.0,40.84,39.82,38.2,38.15,33.94,intraday fallback,,No nearby resistance above price,VWAP 20/20 (2.48%) | EMA trend 20/20 (4.09%) | 15m ORB 25/25 (4.92%) | PDH break 25/25 (8.91%) | Confirmation 4/10 (ATR 4/4),Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Good ATR%: 1.78,1,SELECTED
PMB,PMB,2026-08-13 11:00:00-04:00,2026-08-13,ARM,CALL,96.0,A+,100.0,287.51,0.0,1.31,80.7,0.0,283.76,277.9,266.24,280.16,266.59,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.30%) | EMA trend 20/20 (1.76%) | 15m ORB 25/25 (3.34%) | PDH break 25/25 (2.56%) | Confirmation 6/10 (Candle 2/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.31,2,SELECTED
PMB,PMB,2026-08-13 11:00:00-04:00,2026-08-13,MU,CALL,97.0,A+,100.0,964.09,0.0,1.03,78.5,0.0,941.77,929.79,906.5,935.8,899.54,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (2.32%) | EMA trend 20/20 (1.25%) | 15m ORB 25/25 (3.56%) | PDH break 25/25 (2.93%) | Confirmation 7/10 (Candle 3/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.03,3,SELECTED
PMB,PMB,2026-08-13 11:00:00-04:00,2026-08-13,MRVL,CALL,94.0,A,100.0,228.82,0.0,1.01,76.5,0.0,226.2,221.97,217.18,226.89,216.88,intraday fallback,,No nearby resistance above price,VWAP 20/20 (1.15%) | EMA trend 20/20 (1.06%) | 15m ORB 25/25 (2.99%) | PDH break 25/25 (0.84%) | Confirmation 4/10 (ATR 4/4),Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Good ATR%: 1.01,4,SELECTED
PMB,PMB,2026-08-13 11:15:00-04:00,2026-08-13,SMCI,CALL,94.0,A,100.0,41.47,0.0,1.83,81.4,0.0,40.89,39.82,38.2,38.15,33.94,intraday fallback,,No nearby resistance above price,VWAP 20/20 (1.39%) | EMA trend 20/20 (3.93%) | 15m ORB 25/25 (3.98%) | PDH break 25/25 (8.01%) | Confirmation 4/10 (ATR 4/4),Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Good ATR%: 1.83,1,SELECTED
PMB,PMB,2026-08-13 11:15:00-04:00,2026-08-13,MRVL,CALL,97.0,A+,100.0,228.88,0.0,1.06,78.8,0.0,226.42,221.97,217.18,226.89,216.88,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (1.08%) | EMA trend 20/20 (1.09%) | 15m ORB 25/25 (3.02%) | PDH break 25/25 (0.87%) | Confirmation 7/10 (Candle 3/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.06,2,SELECTED
PMB,PMB,2026-08-13 11:15:00-04:00,2026-08-13,MU,CALL,96.0,A+,100.0,973.69,0.0,1.09,78.5,0.0,946.39,929.79,906.5,935.8,899.54,intraday fallback,,No nearby resistance above price,"VWAP 20/20 (2.80%) | EMA trend 20/20 (1.47%) | 15m ORB 25/25 (4.51%) | PDH break 25/25 (3.89%) | Confirmation 6/10 (Candle 2/4, ATR 4/4)",Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 1.09,3,SELECTED
PMB,PMB,2026-08-13 11:30:00-04:00,2026-08-13,SMCI,CALL,94.0,A,100.0,41.41,0.0,1.83,81.4,0.0,40.92,39.82,38.2,38.15,33.94,intraday fallback,,No nearby resistance above price,VWAP 20/20 (1.18%) | EMA trend 20/20 (3.73%) | 15m ORB 25/25 (3.84%) | PDH break 25/25 (7.87%) | Confirmation 4/10 (ATR 4/4),Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Good ATR%: 1.83,1,SELECTED
