Symbol,Strategy,Strategy Version,Signal,Score,Grade,Setup Quality,Score Components,Confidence,Bull Score,Bear Score,Price,RVOL,ATR %,VWAP,ORB Minutes,ORB Bars,ORB High,ORB Low,PDH,PDL,Nearest Support,Support Distance %,Nearest Resistance,Resistance Distance %,PDH Source,PDH Method,ORB Up,ORB Down,ORB Confirmation Close,ORB Confirmation Time,PDH Break,PDL Break,Above VWAP,Below VWAP,EMA Bullish,EMA Bearish,Reasons
RKLB,PMB,PMB v2,PUT,95.0,A+,Elite PMB setup,"VWAP 20/20 (3.25%) | EMA trend 20/20 (0.71%) | 15m ORB 25/25 (2.72%) | PDL break 25/25 (4.69%) | Confirmation 5/10 (Candle 2/4, ATR 3/4)",100.0,3.0,95.0,93.52,0.53,0.55,96.56,15,3,102.1,96.06,106.99,97.91,80.0,14.46,107.6,15.06,2026-07-02,daily,False,True,93.52,2026-07-06 14:05 EDT,False,True,False,True,False,True,Below VWAP | EMA9 below EMA21 | 15m ORB breakdown | Broke PDL | Strong breakdown candle | Good ATR%: 0.55 | RVOL observed: 0.53
AAPL,PMB,PMB v2,CALL,74.0,B-,Borderline PMB setup,VWAP 14/20 (0.38%) | EMA trend 8/20 (0.00%) | 15m ORB 25/25 (0.90%) | PDH break 25/25 (1.05%) | Confirmation 2/10 (Candle 2/4),100.0,74.0,0.0,312.71,0.58,0.12,311.51,15,3,309.91,307.01,309.42,293.7,287.38,8.1,,,2026-07-02,daily,True,False,312.71,2026-07-06 14:05 EDT,True,False,True,False,True,False,Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | Strong breakout candle | RVOL observed: 0.58
SMCI,PMB,PMB v2,WAIT,67.0,C,Watch only,VWAP 20/20 (1.26%) | EMA trend 20/20 (0.46%) | 15m ORB 25/25 (0.74%) | Confirmation 2/10 (ATR 2/4),61.0,6.0,67.0,26.92,0.43,0.38,27.26,15,3,27.65,27.12,29.22,26.69,,,32.07,19.13,2026-07-02,daily,False,True,26.92,2026-07-06 14:05 EDT,False,False,False,True,False,True,Below VWAP | EMA9 below EMA21 | 15m ORB breakdown | Good ATR%: 0.38 | RVOL observed: 0.43
HIMS,PMB,PMB v2,WAIT,60.0,C,Watch only,VWAP 8/20 (0.06%) | 15m ORB 25/25 (1.49%) | PDH break 25/25 (0.86%) | Confirmation 2/10 (ATR 2/4),38.0,60.0,22.0,38.32,0.64,0.46,38.3,15,3,37.75,36.35,37.99,36.03,31.59,17.56,,,2026-07-02,daily,True,False,38.32,2026-07-06 14:05 EDT,True,False,True,False,False,True,Above VWAP | 15m ORB breakout up | Broke PDH | Good ATR%: 0.46 | RVOL observed: 0.64
GOOGL,PMB,PMB v2,WAIT,52.0,Ignore,No trade,VWAP 14/20 (0.64%) | EMA trend 8/20 (0.04%) | 15m ORB 15/25 (0.14%) | PDH break 15/25 (0.01%),52.0,52.0,0.0,364.23,0.6,0.14,361.91,15,3,363.71,358.75,364.21,353.42,346.36,4.91,372.08,2.16,2026-07-02,daily,True,False,364.23,2026-07-06 14:05 EDT,True,False,True,False,True,False,Above VWAP | EMA9 above EMA21 | 15m ORB breakout up | Broke PDH | RVOL observed: 0.60
TSLA,PMB,PMB v2,WAIT,48.0,Ignore,No trade,VWAP 20/20 (1.51%) | 15m ORB 25/25 (3.56%) | Confirmation 3/10 (Candle 3/4),40.0,48.0,8.0,415.47,0.84,0.26,409.19,15,3,400.66,390.5,432.35,389.3,380.15,8.5,416.0,0.13,2026-07-02,daily,True,False,415.47,2026-07-06 14:05 EDT,False,False,True,False,False,True,Above VWAP | 15m ORB breakout up | Strong breakout candle | RVOL observed: 0.84
MSTR,PMB,PMB v2,WAIT,48.0,Ignore,No trade,VWAP 20/20 (1.07%) | 15m ORB 25/25 (3.20%) | Confirmation 3/10 (ATR 3/4),31.0,48.0,17.0,101.45,0.67,0.8,100.37,15,3,98.2,94.63,104.11,97.57,81.81,19.36,136.25,34.3,2026-07-02,daily,True,False,101.45,2026-07-06 14:05 EDT,False,False,True,False,False,True,Above VWAP | 15m ORB breakout up | Good ATR%: 0.80 | RVOL observed: 0.67
BAC,PMB,PMB v2,WAIT,47.0,Ignore,No trade,VWAP 8/20 (0.34%) | EMA trend 14/20 (0.11%) | PDH break 25/25 (1.27%),43.0,47.0,4.0,59.76,0.68,0.09,59.56,15,3,59.92,58.92,59.0,57.94,56.84,4.89,,,2026-07-02,daily,False,False,59.76,2026-07-06 14:05 EDT,True,False,True,False,True,False,Above VWAP | EMA9 above EMA21 | Broke PDH | RVOL observed: 0.68
COIN,PMB,PMB v2,WAIT,47.0,Ignore,No trade,VWAP 20/20 (1.37%) | 15m ORB 25/25 (2.30%) | Confirmation 2/10 (ATR 2/4),35.0,47.0,12.0,168.87,0.52,0.42,166.55,15,3,164.99,160.1,173.09,163.22,139.18,17.58,174.44,3.3,2026-07-02,daily,True,False,168.87,2026-07-06 14:05 EDT,False,False,True,False,False,True,Above VWAP | 15m ORB breakout up | Good ATR%: 0.42 | RVOL observed: 0.52
AMD,PMB,PMB v2,WAIT,44.0,Ignore,No trade,"15m ORB 15/25 (0.20%) | PDH break 25/25 (1.32%) | Confirmation 4/10 (Candle 2/4, ATR 2/4)",2.0,44.0,42.0,554.99,0.99,0.41,559.89,15,3,553.9,527.0,547.65,506.0,495.35,10.75,558.37,0.61,2026-07-02,daily,True,False,554.99,2026-07-06 14:05 EDT,True,False,False,True,False,True,15m ORB breakout up | Broke PDH | Strong breakout candle | Good ATR%: 0.41 | RVOL observed: 0.99
